event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR38558,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash",Hezbollah,,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaZafon,Akko,Elon,Hanita,33.0875,35.1736,2,"Haaretz; N12; Ynet",National,"On 15 December 2023, Hezbollah forces fired a number of rockets from Lebanon toward Hanita (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the rockets likely landed in open areas near Hanita. Israeli military forces later struck Hezbollah sites that fired rockets toward localities in western Galilee, including Hanita.",0,,1704757982
ISR38626,"15 December 2023",2023,1,Demonstrations,Protests,"Protest with intervention","Protesters (Israel)",,6,"Police Forces of Israel (2022-)",,1,16,,376,"Middle East",Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,1,Haaretz,National,"On 15 December 2023, about 20 people protested in Haifa city against the war in Gaza. Police forces detained two protesters when they refused to leave the area after police labeled the protest illegal.",0,"crowd size=about 20",1704757982
PSE43394,"15 December 2023",2023,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Israel (2022-)",,8,"Civilians (Palestine)","Refugees/IDPs (Palestine)",7,78,,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Mukhayyam Jabalya",31.536,34.4907,1,"Palestine News and Information Agency",National,"On 15 December 2023, Israeli military forces arrested dozens of Palestinians in Mukhayyam Jabalya refugee camp (North Gaza, Gaza Strip).",0,,1704757985
PSE43421,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)","Refugees/IDPs (Palestine)",5,"Police Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank","Al Quds",,"Al Quds - Mukhayyam Shuafat",31.8114,35.2458,1,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Palestinian rioters clashed with Israeli police forces in Al Quds - Mukhayyam Shuafat (Al Quds, West Bank). Israeli forces fired rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757986
PSE43448,"15 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,8,"Civilians (Palestine)","Refugees/IDPs (Palestine)",7,78,"Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Mukhayyam Jabalya",31.536,34.4907,1,"Palestine News and Information Agency",National,"On 15 December 2023, Israeli military forces opened fire at Palestinian civilians in Mukhayyam Jabalya refugee camp (North Gaza, Gaza Strip), injuring dozens of them. Also, warplanes struck several houses in the area, leaving an unspecified number of fatalities and dozens of injuries. Fatalities coded as 12.",12,,1704757986
PSE43463,"15 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,8,"Civilians (Palestine)",,7,78,"Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Al Qararah",31.3739,34.3409,2,"Quds News Network; Twitter","New media-National","On 15 December 2023, Israeli helicopters opened fire at Palestinians east of Al Qararah (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1704757986
PSE43472,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Israel)","Settlers (Israel)",5,"Civilians (Palestine)",,7,57,"Civilian targeting",275,"Middle East",Palestine,"West Bank",Salfit,,Bruqin,32.0722,35.0994,2,"Palestine News and Information Agency",National,"On 15 December 2023, Israeli settler rioters attacked a Palestinian vehicle near Bruqin (Salfit, West Bank) as it was passing by. There were no casualties.",0,"crowd size=no report",1704757986
PSE43473,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Israel)","Settlers (Israel)",5,"Civilians (Palestine)",,7,57,"Civilian targeting",275,"Middle East",Palestine,"West Bank",Salfit,,"Kifil Haris",32.1183,35.1572,1,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Israeli settler rioters beat up 4 Palestinians from Kifil Haris (Salfit, West Bank). Israeli settlers also destroyed the windshield of their vehicle. There were no casualties.",0,"crowd size=no report",1704757986
PSE43511,"15 December 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Israel (2022-)",,8,"Civilians (Palestine)",,7,78,,275,"Middle East",Palestine,"West Bank",Nablus,,Urif,32.1595,35.2223,1,"Al-Ittihad; Ma'an News Agency; Palestine News and Information Agency",National-Regional,"Property destruction: On 15 December 2023, Israeli forces demolished 2 Palestinian-owned houses in Urif (Nablus, West Bank). One of the houses was demolished with explosives.",0,,1704757986
PSE43514,"15 December 2023",2023,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,8,"Civilians (Palestine)",,7,78,"Civilian targeting",275,"Middle East",Palestine,"West Bank",Hebron,,Hebron,31.5294,35.0938,1,"Palestine News and Information Agency",National,"On 15 December 2023, Israeli forces physically attacked a Palestinian and his parents in the Tall Rumeida area in Hebron (Hebron, West Bank). Israeli forces attacked the civilian's parents after they tried to stop the soldiers' attack. The civilian was hospitalized.",0,,1704757986
